Cluster,Date,Avg_Sum_Produce
3,2012-03,350307.665238095
3,2012-04,340600.494761905
3,2012-05,386289.946363636
3,2012-06,387705.672173913
3,2012-07,388044.756956522
3,2012-08,342219.597826087
3,2012-09,289059.291304348
3,2012-10,281806.823043478
3,2012-11,290845.142608696
3,2012-12,294911.502608696
3,2013-01,267063.57125
3,2013-02,260220.122083333
3,2013-03,298029.467083333
3,2013-04,284229.004166667
3,2013-05,297110.915833333
3,2013-06,318742.94125
3,2013-07,343814.469166667
3,2013-08,289055.070416667
3,2013-09,272030.78875
3,2013-10,238453.554166667
3,2013-11,256074.03125
3,2013-12,270075.0924
3,2014-01,273740.7076
3,2014-02,261170.2152
3,2014-03,287068.8348
3,2014-04,279113.4288
3,2014-05,320513.2132
3,2014-06,303025.6992
3,2014-07,296198.0832
3,2014-08,265017.3548
3,2014-09,227283.983333333
3,2014-10,243565.155416667
3,2014-11,243665.680416667
3,2014-12,243341.249583333
3,2015-01,245661.9508
3,2015-02,242436.168
3,2015-03,304138.5912
3,2015-04,265907.0992
3,2015-05,316250.2296
3,2015-06,335445.844
